Name of Song ,Plays
NADIE SABE,"42,915,099"
MONACO,"140,281,724"
FINA,"76,328,936"
HIBIKI,"61,888,732"
MR. OCTOBER,"41,169,308"
CYBERTRUCK,"38,766,184"
VOU787,"29,962,926"
SEDA,"49,395,989"
GRACIAS POR NADA,"34,782,550"
TELEFONO NUEVO,"47,126,476"
BABY NUEVA,"55,188,614"
MERCEDES CAROTA,"40,654,033"
LOS PITS,"35,152,926"
VUELVE CANDY B ,"31,900,277"
BATICANO,"26,995,364"
NO ME QUIERO CASAR,"32,551,764"
WHERE SHE GOES,557032659
THUNDER LIGHTING,"34,093,252"
PERRO ,"129,807,096"
EUROPA,"13,875"
ACHO PR,"28,065,113"
UN PREVIEW,"121,571,663"
